variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
GAL3ST4,123.10612846519275,-0.0685285165815816,0.2737346359619239,-0.2503465311971475,0.8023193751165025,0.9998724362712248,Th1
ATM,7798.724134034461,0.0660683494126531,0.2648979159095433,0.2494106047826137,0.8030431828677703,0.9998724362712248,Th1
ZNF808,1625.381128526146,0.0337484765465963,0.1433134617460376,0.2354871352308913,0.8138306627396998,0.9998724362712248,Th1
OPCML,2.341280651575841,-0.5926286935389284,2.533267470349178,-0.2339384610884543,0.8150327539039224,,Th1
HSPA9,16177.741070841956,-0.0462190817841199,0.1980857592768429,-0.2333286448902395,0.8155062169718419,0.9998724362712248,Th1
BAALC,1.2703451052171848,-0.5468764288898069,2.562188884241567,-0.2134411058658884,0.8309829212673933,,Th1
GBP2,19463.76005537866,0.0372984926505062,0.178925050701326,0.2084587513280486,0.8348707868006549,0.9998724362712248,Th1
SMPDL3A,91.08600746479271,0.0905364416238304,0.4385760938872172,0.2064326872479111,0.8364529399224494,0.9998724362712248,Th1
SEC14L5,2.1295125538864004,0.2523678889094405,1.2374073824044676,0.2039489116503022,0.8383934222990592,,Th1
OAS3,43356.34370970976,-0.0411494054241347,0.2104355239642901,-0.1955440063015103,0.8449670905024232,0.9998724362712248,Th1
PSD3,132.8801276910344,0.0733353608361407,0.3969088089312294,0.1847662717126723,0.853412363598071,0.9998724362712248,Th1
BUD23,9048.832859840171,-0.0273049525000636,0.1497778971911642,-0.1823029499820914,0.855344983727877,0.9998724362712248,Th1
GBE1,5441.305327426057,0.0349240079605832,0.19437282620693,0.1796753622515267,0.8574074367140142,0.9998724362712248,Th1
NDUFAF4,6052.068657483406,-0.0349239190499839,0.1974592353208722,-0.1768664757221025,0.8596132719317323,0.9998724362712248,Th1
RNF144A,2935.1823704718954,-0.0698121990644333,0.4024492404424306,-0.1734683335162606,0.8622833167106367,0.9998724362712248,Th1
APRT,14464.93359028672,0.0207726946746532,0.1224602119906147,0.1696281129763625,0.865302611986323,0.9998724362712248,Th1
VPS13C,6883.021848193056,-0.0257398550159641,0.1524774023219107,-0.1688109491898483,0.8659453457231479,0.9998724362712248,Th1
ASTL,29.174990090891303,0.0708518451675599,0.4206586876940118,0.1684307188708241,0.8662444431373922,0.9998724362712248,Th1
ATP6V0D1,11351.603134515151,-0.0385022204490392,0.2292447516866056,-0.1679524620117565,0.8666206775484413,0.9998724362712248,Th1
CINP,4850.282559986174,0.0222976871347384,0.1337138518816202,0.1667567482423516,0.8675614519712658,0.9998724362712248,Th1
CYBRD1,1149.064941623328,-0.0386699934773634,0.2376995556917675,-0.1626843321806965,0.870766983746654,0.9998724362712248,Th1
PLEKHA4,12.28914596634005,-0.1417692938529028,0.9031262486761558,-0.1569761636988348,0.8752636337970362,0.9998724362712248,Th1
ZER1,4922.398816113558,-0.0300647372843758,0.1927649105923679,-0.1559658196711566,0.8760599634153932,0.9998724362712248,Th1
SRP68,17207.734532294886,-0.0196339397251199,0.1293260111868227,-0.1518174073795336,0.8793309521797804,0.9998724362712248,Th1
ETV2,37.90291821124814,0.0712140392528148,0.4768727587310663,0.1493355154995888,0.8812888921507822,0.9998724362712248,Th1
SWT1,1177.395853028621,-0.0386383202263567,0.261588405154753,-0.1477065476334804,0.8825743640582568,0.9998724362712248,Th1
UBE2J2,10115.115072924928,0.0107983838754637,0.073312083740466,0.1472933699946568,0.8829004653813712,0.9998724362712248,Th1
MNX1,5.190460253900534,0.123797365692613,0.8416049480665873,0.1470967655038291,0.8830556428625473,0.9998724362712248,Th1
WASF2,8909.169209342403,0.0210469911751,0.1486498087201937,0.1415877447559797,0.8874056476710237,0.9998724362712248,Th1
NPTXR,179.03410251455847,0.0448017976338952,0.3224507055736754,0.138941540084981,0.8894963450619124,0.9998724362712248,Th1
GNGT2,3764.178626986976,-0.0223630216703509,0.1633888905729354,-0.136869903406121,0.8911336285174221,0.9998724362712248,Th1
KLK10,1.070511731021636,-0.2729393793175435,2.014750204316856,-0.1354705802896739,0.892239823332421,,Th1
TMEM198,88.59533735995291,-0.0400273400712306,0.3022624357856019,-0.1324257841276132,0.8946475214841422,0.9998724362712248,Th1
ARHGAP39,10.15629898442789,-0.0950513444614396,0.7353425063396273,-0.1292613219580958,0.8971508752271745,0.9998724362712248,Th1
ANTXR1,16.25678720647358,0.0952207143425465,0.7645901720847148,0.1245382399866844,0.9008891249083526,0.9998724362712248,Th1
ZNF304,905.4248910813944,-0.0145012969192211,0.128507151743124,-0.112844279267882,0.9101540127389608,0.9998724362712248,Th1
SH3BP5L,4781.135333053728,-0.0165270975041378,0.1610880948002576,-0.1025966414503239,0.9182831085088686,0.9998724362712248,Th1
REXO4,7100.78881511104,-0.0117782030139493,0.122453152288595,-0.0961853802357882,0.9233733418572908,0.9998724362712248,Th1
UBE2T,23493.839822844096,0.0149057953134983,0.1618648761934155,0.0920878924695627,0.926628207985628,0.9998724362712248,Th1
ANKRD36,1202.6559789366415,0.016822677635444,0.1884832219613742,0.089252918431602,0.9288809103209538,0.9998724362712248,Th1
ZNF79,512.9696582052217,-0.0179818866866741,0.2150495568375575,-0.083617408708529,0.9333606252622406,0.9998724362712248,Th1
LIMS2,1461.5739262807565,-0.0454449961308333,0.5694234001713324,-0.0798087962615507,0.936389328238076,0.9998724362712248,Th1
ZNF706,11916.381837227183,0.0108125405918242,0.1446238843514031,0.0747631737338231,0.9404031428838634,0.9998724362712248,Th1
TLN1,15332.423056405987,0.0105961731719104,0.1533895335992233,0.0690801577087793,0.944925815146759,0.9998724362712248,Th1
PCSK9,20.74438899011927,-0.0793894042067688,1.2010096659434748,-0.0661022192060403,0.9472964440469698,0.9998724362712248,Th1
ANO10,3652.061010576354,-0.0111882138952977,0.1764486996411998,-0.0634077435427318,0.94944182120607,0.9998724362712248,Th1
FGD2,174.4829898778766,-0.019680969161981,0.3275792634199004,-0.0600800214168421,0.9520919018145864,0.9998724362712248,Th1
GCC2,4650.265713367648,0.0075282147916132,0.1393670034171392,0.0540171963738116,0.9569214635186514,0.9998724362712248,Th1
NNT,5522.944632204683,-0.0081024572256697,0.173638008289718,-0.0466629242380544,0.9627818803108368,0.9998724362712248,Th1
THAP4,4529.461211748257,-0.0062465675793328,0.1352562214993807,-0.046183218118077,0.9631642182034882,0.9998724362712248,Th1
BIRC3,12234.184601305618,-0.0116833421302748,0.2827016815174887,-0.0413274589226385,0.9670348427108292,0.9998724362712248,Th1
CRIP3,18.70501690844924,-0.0141840289782212,0.4836797658383202,-0.0293252477776018,0.9766051907442144,0.9998724362712248,Th1
ATP6V1C1,6427.396519918268,-0.0062732027000392,0.2250200717565091,-0.0278784139169034,0.9777591249501252,0.9998724362712248,Th1
TCEA2,2040.5184985971391,0.0033542465292678,0.1690058964585756,0.0198469201344697,0.9841654883883604,0.9998724362712248,Th1
HDAC6,4915.227021733981,-0.0018375619288946,0.2066622512852355,-0.0088916186553993,0.992905608235912,0.9998724362712248,Th1
C5orf15,4029.524715475776,0.0008059524949011,0.112900938381203,0.007138581011434,0.9943042847999576,0.9998724362712248,Th1
PHB1,3923.4396379450063,0.0010048017330131,0.1620682413903114,0.0061998681814115,0.9950532525898732,0.9998724362712248,Th1
